field_name,dk_column_name,description,dataset,data_source,source_link,year
toxic_releases_pctile,EJScreen - Percentile for Toxic Releases to Air - Percentile for Toxic Releases to Air,percentile for toxic releases to air,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
underground_tanks_pctile,EJScreen - Percentile for Underground storage tanks - Percentile for Underground storage tanks,percentile for underground storage tanks,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
pm2_5,EJScreen - Particulate Matter 2.5 - Particulate Matter 2.5,particulate matter 2.5,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
superfund_prox,EJScreen - Superfund proximity - Superfund proximity,superfund proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
housing_before_1960,EJScreen - Housing units built before 1960 - Housing units built before 1960,housing units built before 1960,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
lead_paint,EJScreen - Lead Paint - Lead Paint,lead paint,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
rmp_facility_prox,EJScreen - RMP facility proximity - RMP facility proximity,rmp facility proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
traffic_prox,EJScreen - Traffic proximity - Traffic proximity,traffic proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
haz_waste_prox,EJScreen - Hazardous waste proximity - Hazardous waste proximity,hazardous waste proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
wastewater,EJScreen - Wastewater discharge - Wastewater discharge,wastewater discharge,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
air_toxics_resp,EJScreen - Air toxics respiratory HI - Air toxics respiratory HI,air toxics respiratory hi,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
toxic_releases_air,EJScreen - Toxic Releases to Air - Toxic Releases to Air,toxic releases to air,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
fire_risk_30yr_share,First Street Foundation (2022) - Share of properties at risk of fire in 30 years,share of properties at risk of fire in 30 years,CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2022
fire_risk_30yr_pctile,First Street Foundation (2022) - Share of properties at risk of fire in 30 years (percentile),share of properties at risk of fire in 30 years (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2022
flood_risk_30yr_share,First Street Foundation (2022) - Share of properties at risk of flood in 30 years,share of properties at risk of flood in 30 years,CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2022
flood_risk_30yr_pctile,First Street Foundation (2022) - Share of properties at risk of flood in 30 years (percentile),share of properties at risk of flood in 30 years (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2022
underground_tanks,EJScreen - Underground storage tanks - Underground storage tanks,underground storage tanks,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
