geoid,geoid_year,state,county,state_fips_code,county_fips_code,total_cdfi_lending,med_mortgage_loan,med_property_value,med_sba_504_loan,med_sba_7a_loan,num_mortgage_loans,num_mortgage_denials,num_mortgages_origin,num_sba_504_loans,num_sba_7a_loans,pop_pct_2plus_races,pop_pct_white,pop_pct_black,pop_pct_american_indian,pop_pct_asian,pop_pct_native_hawaiian,pop_pct_other_race
12011061001,2020, Florida, Broward County,12,11,12191.0,355000.0,705000.0,,147500.0,479,104,215,,8,20.6,64.6,9.4,0.0,0.6,0.0,4.9
12011061004,2020, Florida, Broward County,12,11,214203.75,245000.0,415000.0,1601500.0,100000.0,208,68,81,2,19,17.4,52.6,23.8,0.0,1.2,0.0,5.0
12011061100,2020, Florida, Broward County,12,11,83680.00000000001,245000.0,385000.0,759000.0,2115500.0,255,75,96,1,4,25.1,49.5,8.1,0.3,3.1,0.0,14.0
12011070102,2020, Florida, Broward County,12,11,533000.0,295000.0,475000.0,805000.0,200000.0,105,24,48,1,12,21.3,70.6,2.5,1.3,3.6,0.0,0.7
12011070103,2020, Florida, Broward County,12,11,531318.9456357704,135000.0,145000.0,806000.0,1014900.0,9,4,1,1,9,29.4,42.8,17.7,0.0,2.3,0.0,7.9
12011070104,2020, Florida, Broward County,12,11,503075.84181325085,235000.0,355000.0,726500.0,350000.0,180,35,76,8,9,24.3,43.1,6.9,0.0,2.0,0.0,23.6
12011070204,2020, Florida, Broward County,12,11,113972.0,185000.0,325000.0,197500.0,287500.0,172,37,82,4,6,19.4,52.7,12.4,0.6,10.2,0.0,4.7
12011070311,2020, Florida, Broward County,12,11,301293.0,375000.0,715000.0,,150000.0,370,86,172,,7,27.3,64.2,2.0,0.0,4.4,0.0,2.1
12011070314,2020, Florida, Broward County,12,11,224346.3945721811,505000.0,1025000.0,534000.0,1249000.0,260,51,125,1,5,13.5,74.1,5.2,0.0,5.5,0.8,1.0
12011070319,2020, Florida, Broward County,12,11,27679.0,355000.0,775000.0,,175000.0,274,48,133,,4,14.0,72.0,4.0,0.6,8.4,0.0,0.9
12011070327,2020, Florida, Broward County,12,11,48683.33333333333,215000.0,325000.0,,40000.0,283,53,138,,1,39.7,50.9,3.2,0.0,0.4,0.0,5.8
12011070329,2020, Florida, Broward County,12,11,278215.4023865674,445000.0,855000.0,,250000.0,224,46,108,,1,40.1,52.3,0.3,0.0,6.2,0.0,1.1
12011070330,2020, Florida, Broward County,12,11,252965.65872037274,385000.0,905000.0,,100800.0,180,26,91,,2,24.6,43.7,2.8,0.0,13.7,0.0,15.2
12011070403,2020, Florida, Broward County,12,11,340741.0,295000.0,505000.0,,,298,60,135,,,21.9,66.2,8.1,0.0,2.1,0.0,1.7
12011070405,2020, Florida, Broward County,12,11,158544.0,305000.0,625000.0,,150000.0,245,29,130,,2,12.7,66.1,4.3,0.0,7.5,0.0,9.3
12011070601,2020, Florida, Broward County,12,11,237287.0,215000.0,365000.0,220000.0,112500.0,216,52,99,3,2,27.3,46.8,8.4,0.0,5.8,0.0,11.7
12011070602,2020, Florida, Broward County,12,11,90075.0,345000.0,475000.0,590500.0,194450.0,298,63,136,4,18,8.6,55.7,10.8,0.0,15.6,0.0,9.2
