field_name,dk_column_name,description,dataset,data_source,source_link,year
p_ozone,EJScreen - Percentile for Ozone - Percentile for Ozone,percentile for ozone,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_pm25,EJScreen - Percentile for Particulate Matter 2.5 - Percentile for Particulate Matter 2.5,percentile for particulate matter 2.5,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_pnpl,EJScreen - Percentile for Superfund proximity - Percentile for Superfund proximity,percentile for superfund proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_prmp,EJScreen - Percentile for RMP facility proximity - Percentile for RMP facility proximity,percentile for rmp facility proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_ptraf,EJScreen - Percentile for Traffic proximity - Percentile for Traffic proximity,percentile for traffic proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_ptsdf,EJScreen - Percentile for Hazardous waste proximity - Percentile for Hazardous waste proximity,percentile for hazardous waste proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_pwdis,EJScreen - Percentile for Wastewater discharge - Percentile for Wastewater discharge,percentile for wastewater discharge,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_resp,EJScreen - Percentile for Air toxics respiratory HI - Percentile for Air toxics respiratory HI,percentile for  air toxics respiratory hi,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_rsei_air,EJScreen - Percentile for Toxic Releases to Air - Percentile for Toxic Releases to Air,percentile for toxic releases to air,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_ust,EJScreen - Percentile for Underground storage tanks - Percentile for Underground storage tanks,percentile for underground storage tanks,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
pm25,EJScreen - Particulate Matter 2.5 - Particulate Matter 2.5,particulate matter 2.5,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
pnpl,EJScreen - Superfund proximity - Superfund proximity,superfund proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
pre1960,EJScreen - Housing units built before 1960 - Housing units built before 1960,housing units built before 1960,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
pre1960pct,EJScreen - Lead Paint - Lead Paint,lead paint,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
prmp,EJScreen - RMP facility proximity - RMP facility proximity,rmp facility proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
ptraf,EJScreen - Traffic proximity - Traffic proximity,traffic proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
