COUNTY,Geography,Occupation,Median Hourly Wage (2023 $),Maximum Affordable Rent (30% of Income),2023 HUD 2BR Fair Market Rent,"% Income Needed for 2 BR, Median Wage Worker",# of Workers in 2022,Annual Wage as a % AMI for a Family of 3,Datasource,Report Name,URL
Lee County,"Cape Coral-Fort Myers, FL MSA",Carpenters,23.44,1219,1451,0.36,3190,0.64,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Cashiers,13.73,714,1451,0.61,7630,0.37,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA","Child, Family, and School Social Workers",24.37,1267,1451,0.34,490,0.66,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Childcare Workers,14.35,746,1451,0.58,560,0.39,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Construction Laborers,18.43,958,1451,0.45,3950,0.5,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA","Cooks, Restaurant",15.72,817,1451,0.53,4430,0.43,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Customer Service Representatives,18.55,965,1451,0.45,7480,0.5,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Dental Assistants,23.09,1201,1451,0.36,680,0.63,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Dishwashers,14.09,733,1451,0.59,1460,0.38,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Electricians,24.4,1269,1451,0.34,1760,0.66,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA","Elementary School Teachers, Except Special Education",34.64,1801,1451,0.24,2210,0.94,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",13.53,703,1451,0.62,310,0.37,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Fast Food and Counter Workers,13.38,696,1451,0.63,6860,0.36,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
